Username (Account ID),State,District,Area,Median No of transactions ,Average No of transactions ,lowestof trans,Median Amount,Average Amount,lowestof amount,TYPE,Gender,Active,Blocked,Suspended,Unused Balance,NO OF DAYS SINCE LAST DEPOSIT ,NO OF DAYS SINCE device creation,NO OF DAYS SINCE onboarded,Status,Status2
Twintek19pos (015700),Anambra,Idemili North,Nkpor,2170,2601,2170,16722164,26003186,16722164,Regular,Male,Yes,No,No,7892.75633,3,473,473,good,bad
FtechOgba (001382),Lagos,Ikeja,Ogba,143,135,135,497920,5212233,497920,Regular,Male,Yes,No,No,15365.99465,0,1579,1579,good,bad
Albayyan (003145),Federal Capital Territory,Kubwa,Bwari,1460,1512,1460,15571070,14552149,14552149,Regular,Female,Yes,No,No,33698.1575,331,1334,1334,good,good
OMOJONPOS (016821),Edo,Akoko-Edo,Atte,1397,1407,1397,12352646,12990761,12352646,Regular,Male,Yes,No,No,150.664,29,430,430,good,good
Jamilu2Pos (013441),Kebbi,Jega,Jega,707,779,707,11417915,11171408,11171408,Regular,Male,Yes,No,No,49.9955,84,496,496,good,good
SEGUN (006586),Lagos,Apapa,Orile,2456,2427,2427,18417690,16993068,16993068,Regular,Male,Yes,No,No,268340.056,0,928,928,good,bad
Ododopos (012682),Lagos,Alimosho 2,Ijegun,846,832,832,12784871,12548629,12548629,Regular,Male,Yes,No,No,788.1175,403,493,493,good,good
Albayyan2 (018742),Federal Capital Territory,Apo District,Apo,1058,918,918,6842710,6738084,6738084,Regular,Male,Yes,No,No,-2629.36286,348,348,348,bad,bad
Akinfako2 (004423),Lagos,Ibeju-Lekki,Ajah,404,527,404,2371205,3887699,2371205,Regular,Male,Yes,No,No,10.22657,84,1249,1249,good,good
Oluwaseyi1 (003110),Lagos,Apapa,Apapa,0,210,0,0,4262505,0,Regular,Male,Yes,No,No,-4610.79629,171,1335,1335,bad,bad
Gosvine3 (006321),Lagos,Surulere,Lawanson,1448,1379,1379,10684460,11321971,10684460,Regular,Female,Yes,No,No,53371.419,0,1035,1035,good,bad
Oliveceddi (005530),Federal Capital Territory,Wuse Zone,Wuse Zone 1,937,962,937,9486652,9031008,9031008,Regular,Male,Yes,No,No,241166.5478,0,1125,1125,good,bad
Onetouch (002800),Rivers,Ikwerre,Igwuruta,1724,2010,1724,10606740,11149744,10606740,Regular,Male,Yes,No,No,47256.84462,246,1371,1371,good,good
Chiandchi (002509),Lagos,Amuwo Odofin,Amuwo Odofin,782,721,721,5869409,8143296,5869409,Regular,Female,Yes,No,No,-963.5375,149,1407,1407,bad,bad
funmi09 (002422),Lagos,Apapa,Kirikiri,1117,942,942,10166235,8931913,8931913,Regular,Female,Yes,No,No,464986.705,0,917,1420,good,bad
H4businessPos35 (016706),Lagos,Apapa,Apapa,851,807,807,8824657,7499227,7499227,Regular,Male,Yes,No,No,213406.57,0,437,445,good,bad
H4businesspos25 (008852),Lagos,Apapa,Ijora,847,759,759,8713430,7634031,7634031,Regular,Male,Yes,No,No,208407.0007,0,697,697,good,bad
Sounds2 (006769),Lagos,Ojo,Iyana Iba,1001,939,939,9636860,7934924,7934924,Regular,Female,Yes,No,No,800245.175,0,804,804,good,bad
Kamazoudigitaltech (003706),Kaduna,Kaduna South,Sabon Tasha,1342,1307,1307,7748985,8447911,7748985,Regular,Male,Yes,No,No,1037.86508,0,1187,1293,good,bad
JIMMY (005896),Ogun,Itele,Itele,783,780,780,8393950,8720777,8393950,Regular,Male,Yes,No,No,643356.77,0,1062,1062,good,bad
Henahpos (012509),Gombe,Gombe,0,184,215,184,2429420,2969826,2429420,Regular,Male,Yes,No,No,-1097,121,531,531,bad,bad
ConsultPos (009843),Federal Capital Territory,Durumi District,Durumi,1031,937,937,11188180,11453117,11188180,Regular,Female,Yes,No,No,122377.5227,383,557,557,good,good
rasheed19 (004575),Ekiti,Ado Ekiti,Bank Road,1064,1299,1064,10779689,12464711,10779689,Regular,Male,Yes,No,No,50.83821,97,1232,1232,good,good
sabimen2039 (014150),Lagos,Ifako Ijaiye,Ijaiye,286,428,286,1007734,2410710,1007734,Regular,Female,Yes,No,No,50921.065,31,469,469,good,good
nonyepos (001155),Lagos,Alimosho 2,Ijegun,0,525,0,0,3401259,0,Regular,Male,Yes,No,No,-5549.18,588,1629,1629,bad,bad
Meziem (003090),Imo,Oguta,Izombe,105,292,105,1716040,3995472,1716040,Regular,Male,Yes,No,No,-356.29107,61,1337,1337,bad,bad
OYEDELEapp (016720),Lagos,Lagos Island,Ebute metta,199,239,199,5031948,4810417,4810417,Regular,Male,Yes,No,No,1475.662,122,440,440,good,good
TimketPOS (011786),Lagos,Alimosho 1,Iyana Ipaja,1473,1392,1392,12076060,11712747,11712747,Regular,Male,Yes,No,No,3522.18509,44,551,551,good,good
TadaPos (004105),Bornu,Jere,0,957,966,957,8962760,10207524,8962760,Regular,Male,Yes,No,No,20461.89,41,552,711,good,good
ejiro3 (002232),Lagos,Ojo,Iyana Iba,797,648,648,6916570,5926165,5926165,Regular,Female,Yes,No,No,167986.118,3,1434,1434,good,bad
Chizoba (006687),Lagos,Festac1,23 Road Stretch,756,739,739,7534455,7421003,7421003,Regular,Male,Yes,No,No,428561.05,3,847,847,good,bad
Gasat (003260),Lagos,Kosofe,Ketu,535,513,513,5569720,5104036,5104036,Regular,Male,Yes,No,No,128684.598,0,1326,1326,good,bad
H4businesspos41 (016711),Lagos,Apapa,Apapa,797,682,682,7327595,6278516,6278516,Regular,Male,Yes,No,No,226112.3957,0,437,445,good,bad
KENLINKTECH (003310),Edo,Oredo,Lagos Road,766,775,766,12805260,14260193,12805260,Regular,Male,Yes,No,No,122802.805,2,1322,1322,good,bad
H4businessPos40 (016704),Lagos,Apapa,Apapa,600,554,554,5881960,5496624,5496624,Regular,Female,Yes,No,No,97728.90857,0,437,445,good,bad
Bestline (005284),Anambra,Anambra East,Nsugbe,4,109,4,6000,1641125,6000,Regular,Female,Yes,No,No,-2829.64,180,1151,1151,bad,bad
Gasat2 (009172),Lagos,Kosofe,Ketu,756,627,627,7269205,6280327,6280327,Regular,Male,Yes,No,No,5966.055,0,684,684,good,bad
Dharmapos2 (015698),Anambra,Onitsha South,Upper Iweka,523,516,516,4935198,5238880,4935198,Regular,Male,Yes,No,No,127028.2333,53,473,473,good,good
Prime (001416),Lagos,Apapa,Apapa,3126,2770,2770,9467402,10576296,9467402,Regular,Male,Yes,No,No,292415.1181,0,1452,1498,good,bad
Patypeehpos (012922),Delta,Warri south,Ekurede,1050,1098,1050,6647590,6911447,6647590,Regular,Female,Yes,No,No,810.867,87,504,504,good,good
Oyibo2424pos (013371),Federal Capital Territory,Gwagwalada,Gwagwalada,2311,2118,2118,23174530,20836201,20836201,Regular,Male,Yes,No,No,79967.71175,12,497,497,good,good
Zealstar3 (006356),Adamawa,Mubi South,0,1011,1264,1011,9147838,9384837,9147838,Regular,Male,Yes,No,No,72.23,53,1028,1028,good,good
christpetpos2 (020354),Anambra,Ogbaru,Mputu,2018,1898,1898,11806197,11448334,11448334,Regular,Male,Yes,No,No,3921.161,3,291,291,good,bad
Adeola2019 (017413),Lagos,Yaba-Main,Ebute Metta,376,395,376,6921856,5965762,5965762,Regular,Female,Yes,No,No,680306.73,19,396,396,good,good
ejiro1 (002211),Lagos,Ojo,Iba,642,642,642,4524370,5462466,4524370,Regular,Female,Yes,No,No,123410.307,0,864,1438,good,bad
Taibalogun (006541),Lagos,Ajegunle,Amukoko,1171,1164,1164,7780655,8175531,7780655,Regular,Female,Yes,No,No,129780.74,0,965,965,good,bad
Karz1 (002386),Ogun,Obafemi-Owode,Warewa(wawa),1106,1097,1097,6329720,7202981,6329720,Regular,Male,Yes,No,No,51057.51371,1,1424,1424,good,bad
Ejiro4 (001318),Lagos,Surulere,Aguda,12,268,12,53600,2639844,53600,Regular,Female,Yes,No,No,455630.4689,0,1410,1496,bad,bad
Esukpos2 (003191),Delta,Bomadi,Bomadi,221,232,221,8252500,11101539,8252500,Regular,Male,Yes,No,No,300252,44095,1333,1333,good,good
BeautyAka (020052),Delta,Aniocha south,Adonte,365,497,365,2112810,3667298,2112810,Regular,Female,Yes,No,No,-3789.99143,137,307,307,bad,bad
Fumilade25 (003394),Lagos,Ibeju-Lekki,Ajah,655,734,655,8104915,6827398,6827398,Regular,Female,Yes,No,No,127948.7097,0,249,1315,good,bad
A3inventionpos (012558),Osun,Irewole,0,892,1599,892,6414450,8301808,6414450,Regular,Male,Yes,No,No,178737.7025,3,500,500,good,bad
Susan (000696),Lagos,Ikeja,Oba Akran,45,52,45,6389846,6958836,6389846,Regular,Female,Yes,No,No,9641.16243,5,1705,1705,good,bad
Myles (007709),Federal Capital Territory,Kuje/Kwali,Kuje,2948,2371,2371,7026039,5961090,5961090,Regular,Male,No,No,No,5.53013,84,44095,746,good,good
Funpriestpos (005264),Federal Capital Territory,Karo District,Nyanya,1587,1315,1315,11561650,8709480,8709480,Regular,Male,Yes,No,No,208280.2575,1,502,1152,good,bad
Marbgrantpos (018795),Lagos,Lagos Island,Ajah,0,287,0,0,3260992,0,Regular,Male,No,No,No,-1171.36657,188,44095,346,bad,bad
olakunledaniel (005386),Ogun,Imeko-Afon,0,67,368,67,996180,3762225,996180,Regular,Male,Yes,No,No,-4776.794,44095,1144,1144,bad,bad
casablancaPOS (010264),Lagos,Alimosho 1,Isheri,771,744,744,5901030,5783864,5783864,Regular,Female,Yes,No,No,402513.34,0,558,558,good,bad
Guzuladspos (010036),Lagos,Alimosho 2,Idimu Egbe,416,428,416,7746040,7262960,7262960,Regular,Male,Yes,No,No,5050.3,20,584,584,good,good
Aradigital (005872),Lagos,Lagos Island,Obalende,665,602,602,4731047,4686168,4686168,Regular,Male,Yes,No,No,28941.87143,9,1070,1070,good,good
Newdayconceptspos (005737),Imo,Aboh-Mbaise,Aboh,252,354,252,2037260,2879427,2037260,Regular,Male,Yes,No,No,-1199.599,437,661,1076,bad,bad
Tenderheartpos1 (012072),Ebonyi,Ivo,Ishiagu,664,573,573,3595506,3314758,3314758,Regular,Male,Yes,No,No,2237.736,1,542,542,good,bad
debala247 (006181),Delta,Udu,Aladja,495,525,495,4746730,4921219,4746730,Regular,Male,Yes,No,No,15158.81143,2,1048,1048,good,bad
SABIMEN1565 (013835),Lagos,Yaba-Main,Yaba,561,554,554,2746740,3952544,2746740,Regular,Male,Yes,No,No,16574.39,1,476,476,good,bad
Tribandpos (008810),Lagos,IKorodu,Agric,23,433,23,320890,3793241,320890,Regular,Male,Yes,No,No,-2549.45443,181,698,698,bad,bad
sabimen3281 (016050),Kwara,Ilorin,Post Office,91,187,91,992360,1804361,992360,Regular,Male,Yes,No,No,16.1175,108,459,459,good,good
Amicablepos1 (017883),Anambra,Aguata,Ekwulobia,445,454,445,4446536,4632375,4446536,Regular,Male,Yes,No,No,49385.895,0,383,383,good,bad
IWINOSA (006322),Lagos,Amuwo Odofin,Mazamaza,1226,1055,1055,20606100,15510493,15510493,Regular,Male,Yes,No,No,147588.8875,3,1035,1035,good,bad
Jesdanlordapp (012089),Federal Capital Territory,Gwagwalada,Gwagwalada,106,380,106,3853550,5215070,3853550,Regular,Male,Yes,No,No,10914,73,546,546,good,good
Ihuoma (003790),Lagos,Amuwo Odofin,Satellite town,653,599,599,6369030,5885614,5885614,Regular,Female,Yes,No,No,83667.342,3,1291,1291,good,bad
Wilstan29 (005833),Enugu,Enugu South,Uwani,987,982,982,8368390,9351783,8368390,Regular,Male,Yes,No,No,-1412.7442,57,1071,1071,bad,bad
DAOJU (008678),Rivers,Obio/Akpor,Rumuodara,1065,1043,1043,10100886,10246257,10100886,Regular,Male,Yes,No,No,47.58857,36,703,703,good,good
PROFAST3POS (021012),Lagos,Lagos Island,Victoria Island,196,262,196,2932495,3816242,2932495,Regular,Female,Yes,No,No,101350.24,0,277,277,good,bad
blessingfancypos (012544),Ekiti,Ijero,Ijero,400,537,400,3490910,4126751,3490910,Regular,Female,Yes,No,No,99.5,29,473,530,good,good
Oladunjoye (001203),Lagos,Oke Aro,Oke Aro,51,278,51,456355,1956817,456355,Regular,Male,Yes,No,No,956.26143,11,1627,1627,good,good
H4businessVI11 (003835),Lagos,Apapa,Apapa,0,77,0,0,1141743,0,Regular,Male,Yes,No,No,-5339.09714,220,262,1291,bad,bad
ZIWA (003640),Lagos,Agege,Agege Ogba,0,186,0,0,2063096,0,Regular,Female,Yes,No,No,-3979.95357,201,1126,1299,bad,bad
PALAWDIGITAL (006105),Lagos,Amuwo Odofin,Amuwo Odofin,234,281,234,1048330,2380537,1048330,Regular,Male,Yes,No,No,6953.80431,101,1053,1053,good,good
DemoVicyntelApp2 (006793),Anambra,Onitsha South,Upper Iweka,44,62,44,2748463,5038327,2748463,Regular,Male,Yes,No,No,213.87057,71,794,794,good,good
MummyPeePOS (010199),Ogun,Otta,Otta,1221,1261,1221,10162820,10145733,10145733,Regular,Male,Yes,No,No,98791.32857,480,567,567,good,good
Worobopos (008904),Lagos,Ojo,Iyana shasi,921,840,840,6950510,5887412,5887412,Regular,Male,Yes,No,No,-2582.845,555,696,696,bad,bad
Riverplace35 (002266),Ogun,Ado-Odo/Ota,Sango Ota,747,670,670,7967870,7643844,7643844,Regular,Male,Yes,No,No,358578.8,3,1433,1433,good,bad
Saapolopos (013135),Lagos,Surulere,Aguda,2531,1971,1971,16986525,14240158,14240158,Regular,Male,Yes,No,No,90023.01275,2,502,502,good,bad
GODSLINK1 (003065),Rivers,Port Harcourt,Town,240,221,221,3878160,5416285,3878160,Regular,Female,Yes,No,No,-370.15786,21,920,1341,bad,bad
OkwusPos (012952),Delta,Uvwie,Jeddo,996,822,822,12715460,12891477,12715460,Regular,Male,Yes,No,No,28554.579,3,501,501,good,bad
fofee3 (010107),Lagos,Amuwo Odofin,Agboju,19,372,19,457586,2963885,457586,Regular,Male,Yes,No,No,-56.44286,59,44095,584,bad,bad
OMOJONPOS1 (020477),Edo,Akoko-Edo,Ososo,710,612,612,6706454,5641411,5641411,Regular,Male,Yes,No,No,6739.05074,41,72,284,good,good
AGINVESTMENTPOS (012504),Gombe,Gombe,0,86,175,86,1053660,1998079,1053660,Regular,Female,Yes,No,No,-117.07143,44095,531,531,bad,bad
obedpos7 (015960),Lagos,Badagry,Agbara,1856,1572,1572,6206900,5407150,5407150,Regular,Male,Yes,No,No,72046,0,465,465,good,bad
Bouyeat1212 (003708),Kaduna,Chikun,Sabon Tasha,733,674,674,4699250,5619054,4699250,Regular,Female,Yes,No,No,242943.736,3,1293,1293,good,bad
Ofakpos (010416),Akwa Ibom,Ibesikpo Asutan,Ikot Akpan Abia,1798,2040,1798,16956013,16664382,16664382,Regular,Male,Yes,No,No,25726.40715,11,399,563,good,good
AdamoviePos (013235),Delta,Sapele,Sapele,934,927,927,6476700,6404006,6404006,Regular,Female,Yes,No,No,95698.9,42,507,507,good,good
Sunilglobal13 (005353),Plateau,Jos South,0,671,495,495,5914370,4353144,4353144,Regular,Male,No,No,No,50,120,44095,1144,good,good
Faithventurespos (013172),Lagos,Apapa,Ijora,690,677,677,6128607,5584380,5584380,Regular,Female,Yes,No,No,283682.6955,0,502,502,good,bad
Oyeb1 (016662),Lagos,Amuwo Odofin,Amuwo Odofin,122,125,122,5416878,4854584,4854584,Regular,Female,Yes,No,No,98659.41,3,448,448,good,bad
Iblesssolutionpos (009620),Rivers,Ikwerre,Elele,589,546,546,6288760,6422551,6288760,Regular,Male,Yes,No,No,5484.51,1,620,620,good,bad
Moyecom1Pos (009790),Ogun,Itele,Itele,581,581,581,6702920,6617996,6617996,Regular,Male,Yes,No,No,13610.73,122,565,565,good,good
GREENLAYERSLTD2 (003543),Anambra,Onitsha South,Upper Iweka,1143,997,997,6351875,7464890,6351875,Regular,Male,Yes,No,No,164723.2714,1,1305,1305,good,bad
Hassanventure (004644),Lagos,Amuwo Odofin,Mazamaza,405,385,385,6509820,5870331,5870331,Regular,Male,Yes,No,No,334262.4788,12,1105,1225,good,good
focusepos (008861),Lagos,Surulere,Ojuri,406,424,406,1495670,2509149,1495670,Regular,Male,Yes,No,No,330.44,3,696,696,good,bad
Yinkatoria (002584),Lagos,Lagos Island,Victoria Island,18,19,18,6405563,6912637,6405563,Regular,Female,Yes,No,No,187079.7297,0,711,1404,bad,bad
Tbabspos (009409),Lagos,Lagos Island,Onikan,138,198,138,2257990,3439220,2257990,Regular,Male,Yes,No,No,251366.245,3,663,663,good,bad
DebalaPos (012874),Lagos,Lagos Island,Victoria Island,457,381,381,4003880,3824969,3824969,Regular,0,Yes,No,No,-399.45907,45,504,504,bad,bad
OAO1POS (009063),Lagos,Alimosho 1,Alagbado,447,402,402,2440800,2966198,2440800,Regular,Female,Yes,No,No,8765.105,16,690,690,good,good
MostfieldPos (012368),Lagos,Surulere,Aguda,607,775,607,3605248,7104729,3605248,Regular,Male,Yes,No,No,34447.7634,0,538,538,good,bad
Okoror (016888),Edo,Oredo,Airport Road,233,276,233,6058510,6148703,6058510,Regular,Male,Yes,No,No,34325.47857,13,418,419,good,good
SABIMEN1353 (011394),Lagos,Lagos Island,Marina,643,689,643,4164005,4935259,4164005,Regular,Male,Yes,No,No,186840.13,0,535,535,good,bad
Marrianpos (017834),Lagos,Oshodi-Main,Okota,775,697,697,15929950,16992806,15929950,Regular,Female,Yes,No,No,0.00393,29,385,385,good,good
UbamPos (012664),Nasarawa,Nasarawa,Nasarawa Town,280,280,280,2309030,2849134,2309030,Regular,Male,Yes,No,No,16301,226,523,523,good,good
Dignitypos1 (011743),Ebonyi,Ivo,Ishiagu,24,317,24,1041190,3299179,1041190,Regular,Female,Yes,No,No,44.02,44095,553,553,good,good
Ihuomapos (012904),Lagos,Amuwo Odofin,Amuwo Odofin,536,513,513,5953200,5391257,5391257,Regular,Female,Yes,No,No,166103.105,0,507,507,good,bad
OmaPos (013337),Delta,Bomadi,Ogodobiri,894,988,894,12184700,11774575,11774575,Regular,Female,Yes,No,No,29244.84114,5,501,501,good,bad
princeuzpos (015706),Anambra,Idemili North,Obosi,1787,1708,1708,6349820,6345007,6345007,Regular,Male,Yes,No,No,-178.995,54,473,473,bad,bad
Focus (006434),Lagos,Surulere,Lawanson,593,537,537,5887200,5466224,5466224,Regular,Male,Yes,No,No,470280.84,0,1008,1008,good,bad
oluwaseyi2 (004263),Lagos,Apapa,Apapa,735,785,735,5876950,7606734,5876950,Regular,Male,Yes,No,No,14978.48071,0,360,1249,good,bad
DHARMAPos (008707),Anambra,Onitsha South,Upper Iweka,536,545,536,4473030,4668619,4473030,Regular,Male,Yes,No,No,112037.7,98,699,699,good,good
QUOFIBARCApos (009115),Lagos,IKorodu,Agbede,14,202,14,1178029,2277048,1178029,Regular,Male,Yes,No,No,-4399.7,162,686,686,bad,bad
DamboaPOS2 (022634),Bornu,Maiduguri,0,0,62,0,0,1316074,0,Regular,Male,Yes,No,No,-4813.5,227,247,247,bad,bad
Jotekapos (015958),Benue,Makurdi,0,288,685,288,250430,2123936,250430,Regular,Male,Yes,No,No,104.665,1,465,465,good,bad
SABIMEN943 (011576),Lagos,Oshodi-Main,Oshodi,0,151,0,0,1214211,0,Regular,Male,Yes,No,No,19008.9,196,536,536,bad,bad
Obed4 (002449),Lagos,Badagry,Agbara,842,969,842,3210930,3395044,3210930,Regular,Female,Yes,No,No,39896.72857,0,249,1351,good,bad
KNN (000789),Lagos,Alimosho 1,Ejigbo,28,58,28,31670,2032217,31670,Regular,Female,Yes,No,No,-842.8764,63,1670,1670,bad,bad
Agorotelecom (002785),Lagos,Apapa,Ijora,557,469,469,5695060,4462191,4462191,Regular,Male,Yes,No,No,124929.45,0,718,1382,good,bad
James001pos (016684),Ogun,Ifo,0,1285,1344,1285,8844325,7856903,7856903,Regular,Female,Yes,No,No,548421.1625,9,445,445,good,good
SuccessComputers (002071),Lagos,Apapa,Apapa,463,398,398,3585360,3193687,3193687,Regular,Male,Yes,No,No,181653.275,0,718,1447,good,bad
Wudiripos (009260),Gombe,Gombe,0,222,180,180,3204460,2779332,2779332,Regular,Male,Yes,No,No,-144.1025,172,668,668,bad,bad
Sabimen3657 (015189),Lagos,Alimosho 2,Idimu Egbe,0,95,0,0,936153,0,Regular,Male,Yes,No,No,26.25,409,438,438,bad,bad
Isahkangiwa2Pos (011776),Kebbi,Arewa Dandi,Arewa Dandi,54,49,49,574080,1341320,574080,Regular,Male,Yes,No,No,4312.46,94,551,551,good,good
Oluchukwuventpos (019908),Lagos,Ojo,Iba,1784,1689,1689,14269840,15078771,14269840,Regular,Male,Yes,No,No,248251.6158,3,216,314,good,bad
preciousseed (010451),Lagos,Apapa,Orile,366,367,366,4052055,3619138,3619138,Regular,Male,Yes,No,No,54217.23,0,564,564,good,bad
Idsatalite2 (000695),Lagos,Ikeja,Allen,441,479,441,2587935,2847282,2587935,Regular,Male,Yes,No,No,-540.63357,62,1454,1705,bad,bad
Bashy03Pos (009422),Lagos,Kosofe,Mile12,490,546,490,5528140,5007104,5007104,Regular,Female,Yes,No,No,10742.835,3,663,663,good,bad
fofee1 (012244),Lagos,Amuwo Odofin,Agboju,338,351,338,2563310,2706535,2563310,Regular,Male,Yes,No,No,-142.19714,62,44095,545,bad,bad
DONVALS (006506),Anambra,Aguata,Ekwulobia,638,541,541,4118650,3166117,3166117,Regular,Male,Yes,No,No,15023.2,3,983,983,good,bad
ChoralcomsGTB (009951),Lagos,Ibeju-Lekki,Ibeju,453,493,453,2884720,2746672,2746672,Regular,Female,Yes,No,No,-325.77125,14,601,601,bad,bad
sabimen806 (010564),Lagos,Mushin-Main,Mushin,850,1126,850,7091210,14514522,7091210,Regular,Male,Yes,No,No,37057.5605,17,537,537,good,good
FRFUTO (003372),Ogun,Abeokuta South,Oke Ilewo,113,119,113,4855293,4693109,4693109,Regular,Female,Yes,No,No,20365.37057,3,1319,1319,good,bad
